iter	Passed	Remaining
486	661	696
487	662	695
488	663	693
489	664	691
490	665	690
491	669	690
492	670	689
493	672	688
494	673	687
495	674	685
496	675	683
497	677	683
498	678	681
499	679	679
500	681	678
501	682	677
502	683	675
503	685	674
504	686	672
505	687	670
506	687	668
507	688	667
508	689	665
509	690	663
510	691	661
511	692	659
512	693	658
513	694	656
514	695	654
515	707	663
516	709	663
517	711	661
518	712	660
519	713	659
520	715	657
521	716	655
522	717	654
523	718	652
524	719	650
525	719	648
526	720	646
527	721	645
528	722	643
529	723	641
530	723	639
531	724	637
532	725	635
533	726	634
534	728	632
535	729	631
536	729	629
537	730	627
538	731	625
539	731	623
540	732	621
541	733	619
542	734	618
543	735	616
544	735	614
545	736	612
546	737	610
547	737	608
548	738	606
549	740	605
550	741	604
551	743	603
552	743	601
553	744	599
554	745	597
555	746	596
556	747	594
557	749	593
558	750	591
559	750	589
560	751	588
561	752	586
562	753	584
563	756	584
564	757	583
565	758	581
566	759	580
567	761	578
568	761	577
569	762	575
570	763	573
571	764	571
572	764	570
573	765	568
574	766	566
575	767	564
576	768	563
577	769	561
578	770	560
579	772	559
580	773	557
581	774	556
582	775	554
583	776	553
584	777	551
585	778	549
586	778	548
587	779	546
588	780	544
589	781	543
590	782	541
591	785	541
592	787	540
593	788	539
594	789	537
595	790	536
596	791	534
597	792	532
598	793	531
599	794	529
600	794	527
601	795	526
602	796	524
603	797	523
604	798	521
605	799	519
606	801	518
607	802	517
608	803	515
609	804	514
610	805	512
611	806	511
612	807	509
613	808	508
614	808	506
615	809	504
616	810	503
617	811	501
618	813	500
619	815	499
620	816	498
621	817	496
622	818	495
623	819	493
624	820	492
625	821	490
626	822	489
627	822	487
628	823	485
629	824	484
630	824	482
631	825	480
632	826	479
633	827	477
634	829	476
635	830	475
636	831	473
637	832	472
638	833	471
639	834	469
640	835	467
641	836	466
642	836	464
643	837	462
644	838	461
645	838	459
646	839	458
647	840	456
648	845	457
649	846	456
650	847	454
651	848	453
652	849	451
653	850	450
654	851	448
655	852	446
656	852	445
657	853	443
658	854	442
659	854	440
660	855	438
661	857	437
662	858	436
663	859	434
664	860	433
665	862	432
666	863	431
667	864	429
668	865	428
669	866	426
670	867	425
671	868	423
672	868	422
673	869	420
674	877	422
675	878	420
676	878	419
677	879	417
678	880	416
679	881	414
680	881	413
681	882	411
682	883	409
683	883	408
684	884	406
685	885	405
686	886	403
687	887	402
688	888	401
689	890	399
690	891	398
691	891	396
692	892	395
693	893	394
694	894	392
695	895	391
696	896	389
697	896	388
698	897	386
699	898	384
700	898	383
701	899	381
702	901	380
703	902	379
704	903	377
705	904	376
706	904	374
707	905	373
708	906	371
709	906	370
710	907	368
711	908	367
712	909	365
713	909	364
714	910	362
715	911	361
716	911	359
717	912	358
718	912	356
719	913	355
720	914	353
721	914	352
722	916	350
723	917	349
724	918	348
725	919	346
726	919	345
727	920	343
728	921	342
729	922	341
730	922	339
731	923	338
732	924	336
733	925	335
734	925	333
735	926	332
736	927	330
737	927	329
738	928	327
739	929	326
740	929	324
741	933	324
742	934	323
743	935	321
744	936	320
745	936	319
746	937	317
747	938	316
748	939	314
749	939	313
750	940	311
751	941	310
752	941	308
753	942	307
754	942	305
755	943	304
756	944	303
757	945	301
758	946	300
759	947	299
760	948	297
761	949	296
762	949	295
763	950	293
764	951	292
765	952	290
766	953	289
767	953	288
768	954	286
769	954	285
770	955	283
771	956	282
772	956	281
773	957	279
774	958	278
775	959	276
776	961	276
777	962	274
778	963	273
779	964	272
780	965	270
781	966	269
782	966	267
783	967	266
784	968	265
785	968	263
786	969	262
787	970	261
788	971	259
789	971	258
790	972	256
791	973	255
792	974	254
793	978	253
794	979	252
795	980	251
796	981	250
797	983	248
798	984	247
799	985	246
800	985	244
801	986	243
802	987	242
803	988	240
804	989	239
805	992	238
806	993	237
807	994	236
808	995	235
809	996	233
810	997	232
811	997	231
812	998	229
813	999	228
814	1000	227
815	1001	225
816	1001	224
817	1002	223
818	1003	221
819	1003	220
820	1005	219
821	1006	217
822	1007	216
823	1008	215
824	1009	214
825	1010	212
826	1011	211
827	1012	210
828	1013	208
829	1013	207
830	1014	206
831	1015	205
832	1016	203
833	1017	202
834	1018	201
835	1018	199
836	1022	199
837	1023	197
838	1024	196
839	1025	195
840	1025	193
841	1026	192
842	1027	191
843	1028	190
844	1028	188
845	1029	187
846	1030	186
847	1030	184
848	1031	183
849	1032	182
850	1033	180
851	1033	179
852	1036	178
853	1037	177
854	1038	176
855	1039	174
856	1039	173
857	1040	172
858	1042	171
859	1042	169
860	1043	168
861	1044	167
862	1044	165
863	1045	164
864	1046	163
865	1046	161
866	1047	160
867	1048	159
868	1048	158
869	1050	156
870	1051	155
871	1052	154
872	1053	153
873	1054	152
874	1055	150
875	1055	149
876	1056	148
877	1057	146
878	1057	145
879	1058	144
880	1059	143
881	1059	141
882	1060	140
883	1061	139
884	1061	137
885	1062	136
886	1063	135
887	1063	134
888	1065	133
889	1066	131
890	1067	130
891	1068	129
892	1069	128
893	1070	126
894	1071	125
895	1072	124
896	1072	123
897	1073	121
898	1074	120
899	1075	119
900	1076	118
901	1076	117
902	1077	115
903	1078	114
904	1081	113
905	1082	112
906	1084	111
907	1085	109
908	1085	108
909	1086	107
910	1087	106
911	1087	104
912	1088	103
913	1089	102
914	1090	101
915	1090	100
916	1091	98
917	1092	97
918	1092	96
919	1093	95
920	1094	93
921	1096	92
922	1096	91
923	1097	90
924	1098	89
925	1098	87
926	1099	86
927	1100	85
928	1101	84
929	1101	82
930	1102	81
931	1103	80
932	1104	79
933	1104	78
934	1105	76
935	1105	75
936	1106	74
937	1107	73
938	1107	71
939	1111	70
940	1112	69
941	1113	68
942	1113	67
943	1114	66
944	1115	64
945	1116	63
946	1116	62
947	1117	61
948	1117	60
949	1118	58
950	1119	57
951	1119	56
952	1120	55
953	1121	54
954	1121	52
955	1122	51
956	1124	50
957	1125	49
958	1126	48
959	1127	46
960	1127	45
961	1128	44
962	1128	43
963	1129	42
964	1130	41
965	1131	39
966	1132	38
967	1132	37
968	1133	36
969	1133	35
970	1134	33
971	1135	32
972	1135	31
973	1136	30
974	1137	29
975	1138	27
976	1139	26
977	1140	25
978	1141	24
979	1141	23
980	1142	22
981	1143	20
982	1143	19
983	1144	18
984	1145	17
985	1145	16
986	1146	15
987	1147	13
988	1147	12
989	1148	11
990	1149	10
991	1149	9
992	1150	8
993	1151	6
994	1153	5
995	1154	4
996	1155	3
997	1155	2
998	1156	1
999	1157	0
